Cites,Authors,Title,Year,Source,,,,,
29,"J Lindley, R Potts",A machine learning: an example of HCI prototyping with design fiction,2014,Proceedings of the 8th Nordic Conference on Human …,,,,,
83,"PJ Hanes, NJ O'Brien, JJ Garnick",A morphological comparison of radicular dentin following root planing and treatment with citric acid or tetracycline HCI,1991,Journal of clinical …,,,,,
48,"L Alpay, P Toussaint, B Zwetsloot-Schonk",Supporting healthcare communication enabled by information and communication technology: Can HCI and related cognitive aspects help?,2004,… on Dutch Directions in HCI,,,,,
47,"J Coutaz, G Calvary",HCI and software engineering for user interface plasticity,2012,,,,,,
30,"PG Krogh, MG Petersen, K O'Hara, ...",Sensitizing concepts for socio-spatial literacy in HCI,2017,Proceedings of the 2017 …,,,,,
43,"H Jung, E Stolterman",Form and materiality in interaction design: a new approach to HCI,2011,CHI'11 Extended Abstracts on Human Factors in …,,,,,
30,"P Sengers, C Csikszentmihályi",HCI and the arts: a conflicted convergence?,2003,CHI'03 extended abstracts on Human …,,,,,
46,"M Brown, A Kehoe, J Kirakowski, I Pitt",Beyond the gamepad: HCI and game controller design and evaluation,2010,Evaluating user experience in …,,,,,
53,GA Berg,Human-computer interaction (HCI) in educational environments: Implications of understanding computers as media,2000,Journal of Educational Multimedia and Hypermedia,,,,,
43,"Y Fernaeus, M Jonsson, J Tholander",Revisiting the jacquard loom: threads of history and current patterns in HCI,2012,Proceedings of the SIGCHI …,,,,,
28,"V Becker, D Gambaro, TS Ramos",Audiovisual design and the convergence between HCI and audience studies,2017,International Conference on Human …,,,,,
59,"K Isbister, K Höök",On being supple: in search of rigor without rigidity in meeting new design and evaluation challenges for HCI practitioners,2009,Proceedings of the SIGCHI conference on human …,,,,,
97,JM Carroll,Infinite detail and emulation in an ontologically minimized HCI,1990,Proceedings of the SIGCHI Conference on Human …,,,,,
18,"MD Jones, Z Anderson, J Häkkilä, K Cheverst, ...",HCI outdoors: understanding human-computer interaction in outdoor recreation,2018,Extended Abstracts of …,,,,,
44,"D McMillan, A Morrison, M Chalmers",Categorised ethical guidelines for large scale mobile HCI,2013,Proceedings of the SIGCHI …,,,,,
30,"K van Turnhout, A Bennis, S Craenmehr, ...",Design patterns for mixed-method research in HCI,2014,Proceedings of the 8th …,,,,,
38,"M Bachynskyi, A Oulasvirta, G Palmas, ...",Is motion capture-based biomechanical simulation valid for hci studies? study and implications,2014,Proceedings of the …,,,,,
70,"J Kim, J Park, HK Kim, C Lee",HCI (human computer interaction) using multi-touch tabletop display,2007,2007 IEEE Pacific Rim …,,,,,
14,"A Tutia, K Baljon, L Vu, DK Rosner",HCI and menopause: Designing with and around the aging body,2019,Extended abstracts of the 2019 CHI …,,,,,
48,"DS McCrickard, CM Chewar, J Somervell","Design, science, and engineering topics? Teaching HCI with a unified method",2004,ACM SIGCSE Bulletin,,,,,
33,"J Vines, R Clarke, T Leong, J McCarthy, ...",Invited SIG-participation and HCI: why involve people in design?,2012,CHI'12 Extended …,,,,,
44,"A Williams, S Lindtner, K Anderson, ...",Multisited design: An analytical lens for Transnational HCI,2014,Human–Computer …,,,,,
28,"L Kyriakoullis, P Zaphiris",Culture and HCI: a review of recent cultural studies in HCI and social networks,2016,Universal Access in the Information Society,,,,,
238,"MW Anders, GJ Mannering","Inhibition of Drug Metabolism: I. Kinetics of the Inhibition of the N-Demethylation of Ethylmorphine by 2-Diethylaminoethyl 2, 2-Diphenylvalerate HCI (SKF 525-A …",1966,Molecular pharmacology,,,,,
44,J Hurtienne,Cognition in HCI: An ongoing story,2009,Human Technology: An Interdisciplinary Journal on …,,,,,
12,"JW Hong, D Williams","Racism, responsibility and autonomy in HCI: Testing perceptions of an AI agent",2019,Computers in Human Behavior,,,,,
66,"P Zhang, A Dillon",HCI and MIS: shared concerns,2003,International Journal of Human-Computer Studies,,,,,
28,"D Fitton, B Bell",Working with teenagers within HCI research: understanding teen-computer interaction,2014,… Human Computer Interaction Conference (HCI …,,,,,
23,"JL Xu, AA Gowen, DW Sun",Time series hyperspectral chemical imaging (HCI) for investigation of spectral variations associated with water and plasticizers in casein based biopolymers,2018,Journal of Food Engineering,,,,,
31,"HA Maior, M Pike, S Sharples, ML Wilson",Examining the reliability of using fNIRS in realistic HCI settings for spatial and verbal tasks,2015,proceedings of the 33rd …,,,,,
33,"CC Chen, S Cha, T Liu, L Milor",System-level modeling of microprocessor reliability degradation due to BTI and HCI,2014,2014 IEEE International …,,,,,
35,"C Remy, S Gegenbauer, EM Huang",Bridging the theory-practice gap: Lessons and challenges of applying the attachment framework for sustainable hci design,2015,Proceedings of the 33rd Annual …,,,,,
48,"G Çetin, D Verzulli, S Frings",An analysis of involvement of HCI experts in distributed software development: practical issues,2007,International Conference on Online …,,,,,
30,"H Verma, HS Alavi, D Lalanne",Studying space use: bringing HCI tools to architectural projects,2017,… of the 2017 CHI Conference on Human …,,,,,
37,AF Blackwell,HCI as an Inter-Discipline,2015,Proceedings of the 33rd Annual ACM Conference …,,,,,
25,"D Sengupta, SS Sapatnekar",Estimating circuit aging due to BTI and HCI using ring-oscillator-based sensors,2017,IEEE Transactions on Computer …,,,,,
70,"MJ Muller, C Wharton, WJ McIver Jr, ...",Toward an HCI research and practice agenda based on human needs and social responsibility,1997,Proceedings of the ACM …,,,,,
5,"HS Alavi, D Lalanne, Y Rogers",The five strands of living lab: a literature study of the evolution of living lab concepts in HCI,2020,ACM Transactions on Computer …,,,,,
44,"A Kulshreshth, C Zorn, JJ LaViola",Poster: Real-time markerless kinect based finger tracking and hand gesture recognition for HCI,2013,2013 IEEE Symposium on …,,,,,
56,H Hasan,Integrating IS and HCI using activity theory as a philosophical and theoretical basis,1999,Australasian Journal of Information Systems,,,,,
80,"I Poddar, Y Sethi, E Ozyildiz, R Sharma",Toward natural gesture/speech HCI: A case study of weather narration,1998,Proc. Workshop on Perceptual …,,,,,
24,"AL Culén, A Følstad",Innovation in HCI: what can we learn from design thinking?,2014,Proceedings of the 8th nordic conference on …,,,,,
5,"W Roldan, X Gao, AM Hishikawa, T Ku, Z Li, ...",Opportunities and Challenges in Involving Users in Project-Based HCI Education,2020,Proceedings of the …,,,,,
36,"A Lopez-Basterretxea, A Mendez-Zorrilla, ...",Eye/head tracking technology to improve HCI with iPad applications,2015,Sensors,,,,,
28,"V Vlachokyriakos, C Crivellaro, P Wright, ...","HCI, solidarity movements and the solidarity economy",2017,Proceedings of the …,,,,,
51,"CE Wania, ME Atwood, KW McCain",How do design and evaluation interrelate in HCI research?,2006,… of the 6th conference on Designing …,,,,,
24,"O Mubin, M Obaid, P Jordan, P Alves-Oliveria, ...",Towards an agenda for Sci-Fi inspired HCI research,2016,Proceedings of the 13th …,,,,,
64,KJ Vicente,HCI in the global knowledge-based economy: designing to support worker adaptation,2000,ACM Transactions on Computer-Human Interaction …,,,,,
31,SB Shum,"Evolving the web for scientific knowledge: First steps towards an"" HCI knowledge web",1998,"Interfaces, British HCI Group Magazine",,,,,
24,"S Nylander, J Tholander, F Mueller, ...",HCI and sports,2014,CHI'14 Extended Abstracts …,,,,,
11,"SY Liu, S Bardzell, J Bardzell",Symbiotic encounters: HCI and sustainable agriculture,2019,Proceedings of the 2019 CHI Conference …,,,,,
38,A Seffah,The evolution of design patterns in HCI: from pattern languages to pattern-oriented design,2010,Proceedings of the 1st International Workshop on …,,,,,
14,"O St-Cyr, CM MacDonald, EF Churchill, ...",Developing a community of practice to support global HCI education,2018,Extended Abstracts of …,,,,,
48,N Iivari,Understanding the work of an HCI practitioner,2006,Proceedings of the 4th Nordic conference on Human …,,,,,
60,"A Higuchi, N Iwata, T Nakagawa",Surface‐modified polysulfone hollow fibers. II. Fibers having CH2CH2CH2SO3− segments and immersed in HCI solution,1990,Journal of applied polymer …,,,,,
40,C Stephanidis,"… Interaction: 4th International Conference on Universal Access in Human-Computer Interaction, UAHCI 2007, Held as Part of HCI International 2007, Beijing …",2007,,,,,,
56,"F Paternò, C Santoro",Integrating model checking and HCI tools to help designers verify user interface properties,2000,"… on Design, Specification, and Verification of …",,,,,
11,"O Bates, K New, S Mitchell-Finnigan, ...",Towards a responsible innovation agenda for HCI,2019,Extended Abstracts of …,,,,,
83,"BE John, A Newell",Cumulating the science of HCI: From SR compatibility to transcription typing,1989,Proceedings of the SIGCHI Conference on Human …,,,,,
24,C Tek,Naltrexone HCI/bupropion HCI for chronic weight management in obese adults: patient selection and perspectives,2016,Patient preference and adherence,,,,,
27,"M Obrist, C Velasco, CT Vi, N Ranasinghe, ...","Touch, taste, & smell user interfaces: The future of multisensory HCI",2016,Proceedings of the …,,,,,
66,"S OKABE, H MIYAKE, Y AWANE",Cytoprotective effects of NC-1300 and omeprazole on HCI· ethanol-induced gastric lesions in rats,1986,The Japanese Journal of …,,,,,
44,"A Joshi, NL Sarda, S Tripathi",Measuring effectiveness of HCI integration in software development processes,2010,Journal of systems and software,,,,,
19,"M Balestrini, Y Rogers, P Marshall",Civically engaged HCI: tensions between novelty and social impact,2015,Proceedings of the 2015 British HCI …,,,,,
11,"R Soden, M Skirpan, C Fiesler, Z Ashktorab, ...",CHI4EVIL: Creative Speculation on the Negative Impacts of HCI Research,2019,Extended Abstracts of …,,,,,
8,"S Homewood, A Karlsson, A Vallgårda",Removal as a Method: A Fourth Wave HCI Approach to Understanding the Experience of Self-Tracking,2020,Proceedings of the 2020 ACM …,,,,,
65,"JR Sterrett, J Strom, HK Stummvoll, U Bahner, ...",Cinacalcet HCI (Sensipar/Mimpara) is an effective chronic therapy for hemodialysis patients with secondary hyperparathyroidism.,2007,Clinical …,,,,,
31,"D Varghese, MA Alam, B Weir","A generalized, IB-independent, physical HCI lifetime projection methodology based on universality of hot-carrier degradation",2010,2010 IEEE International …,,,,,
12,"H Pohl, A Muresan, K Hornbæk",Charting subtle interaction in the HCI literature,2019,… of the 2019 CHI Conference on Human …,,,,,
25,J Hurtienne,How cognitive linguistics inspires HCI: image schemas and image-schematic metaphors,2017,International Journal of Human–Computer Interaction,,,,,
29,"J Harvey, D Golightly, A Smith",HCI as a means to prosociality in the economy,2014,… of the SIGCHI Conference on Human …,,,,,
39,"J Brewer, JJ Kaye, A Williams, S Wyche",Sexual interactions: why we should talk about sex in HCI,2006,CHI'06 Extended Abstracts on …,,,,,
86,"JV Mu, ZH Israili, PG Dayton","STUDIES OF THE DISPOSITION AND METABOLISM OF MEFLOQUINE HCI (WR 142,490), A QUINOLINEMETHANOL ANTIMALARIAL, IN THE RAT Limited Studies …",1975,Drug metabolism and disposition,,,,,
44,J Borchers,Teaching HCI design patterns: Experience from two university courses,2002,Patterns in practice: A workshop for …,,,,,
75,"AY Gamal, JM Mailhot, JJ Garnick, ...",Human periodontal ligament fibroblast response to PDGF‐BB and IGF‐1 application on tetracycline HCI conditioned root surfaces,1998,Journal of clinical …,,,,,
59,"FL Moffat Jr, T Han, ZM Li, MD Peck, ...",Supplemental L‐arginine HCI augments bacterial phagocytosis in human polymorphonuclear leukocytes,1996,Journal of cellular …,,,,,
41,GE Burnett,On-the-move and in your car: An overview of HCI issues for in-car computing,2009,International Journal of Mobile Human Computer …,,,,,
14,"A Eiselmayer, C Wacharamanotham, ...",Touchstone2 An Interactive Environment for Exploring Trade-offs in HCI Experiment Design,2019,Proceedings of the …,,,,,
56,T Clemmensen,Four approaches to user modelling—a qualitative research interview study of HCI professionals' practice,2004,Interacting with computers,,,,,
51,D Te'eni,An Overview of Fit Conceptualizations in HCI,2006,Human-Computer Interaction and Management …,,,,,
36,"S Bardzell, EF Churchill",IwC special issue “Feminism and HCI: new perspectives” Special Issue Editors' introduction,2011,Interacting with Computers,,,,,
7,"CT Lin, JT King, P Bharadwaj, CH Chen, A Gupta, ...",EOG-based eye movement classification and application on HCI baseball game,2019,IEEE …,,,,,
45,"J Pearson, G Buchanan, H Thimbleby",HCI design principles for ereaders,2010,Proceedings of the third …,,,,,
14,"DJ García-Domínguez, L Hontecillas-Prieto, ...",The combination of epigenetic drugs SAHA and HCI-2509 synergistically inhibits EWS-FLI1 and tumor growth in Ewing sarcoma,2018,Oncotarget,,,,,
38,"BE John, L Bass, R Kazman, E Chen","Identifying gaps between HCI, software engineering, and design, and boundary objects to bridge them",2004,CHI'04 extended abstracts on …,,,,,
13,"M Lewis, M Sturdee, N Marquardt",Applied sketching in HCI: Hands-on course of sketching techniques,2018,Extended Abstracts of the 2018 CHI …,,,,,
2,"S Maity, D Yang, SS Redford, D Das, ...",BodyWire-HCI Enabling New Interaction Modalities by Communicating Strictly During Touch Using Electro-Quasistatic Human Body Communication,2020,ACM Transactions on …,,,,,
31,A Bruckman,Research ethics and HCI,2014,Ways of Knowing in HCI,,,,,
18,"F Echtler, M Häußler","Open source, open science, and the replication crisis in HCI",2018,Extended Abstracts of the 2018 CHI Conference …,,,,,
14,"M Lewis, M Sturdee, J Walny, N Marquardt, ...",Sketchi 2.0: Hands-on special interest group on sketching in HCI,2019,Extended Abstracts of …,,,,,
24,"V Fuchsberger, M Murer, M Tscheligi, ...","Fabrication & HCI: Hobbyist making, industrial production, and beyond",2016,Proceedings of the …,,,,,
45,"M Henriksson, B Warnqvist","Kinetics of Formation of HCI(g) by the Reaction between NaCl(s) and SO2, O2, and H2O(g)",1979,Industrial & Engineering Chemistry …,,,,,
30,A Seffah,Patterns of HCI design and HCI design of patterns: bridging HCI design and model-driven software engineering,2015,,,,,,
30,"C Lallemand, G Gronier",Enhancing user experience during waiting time in HCI: contributions of cognitive psychology,2012,Proceedings of the Designing Interactive …,,,,,
20,"H Davis, J Waycott",Ethical encounters: HCI research in sensitive and complex settings,2015,Proceedings of the Annual Meeting of the Australian …,,,,,
65,"A Haggag, W McMahon, K Hess, ...",High-performance chip reliability from short-time-tests-statistical models for optical interconnect and HCI/TDDB/NBTI deep-submicron transistor failures,2001,… . 39th Annual (Cat …,,,,,
71,"FE Ritter, JH Larkin",Developing process models as summaries of HCI action sequences,1994,Human–Computer Interaction,,,,,
63,CA Halverson,Distributed Cognition as a theoretical framework for HCI: Don't throw the Baby out with the bathwater-the importance of the cursor in Air Traffic Control,1994,"Dept. Cog. Sci., Univ. California, San Diego. La Jolla …",,,,,
14,"J Diaz-Fortuny, J Martin-Martinez, ...","A versatile CMOS transistor array IC for the statistical characterization of time-zero variability, RTN, BTI, and HCI",2018,IEEE Journal of Solid …,,,,,
27,"E Buie, S Dray, K Instone, J Jain, G Lindgaard, ...",How to bring HCI research and practice closer together,2010,CHI'10 Extended …,,,,,
23,P Turner,HCI redux: The promise of post-cognitive interaction,2016,,,,,,
37,"CMDS Freitas, MS Pimenta, DL Scapin",User-centered evaluation of information visualization techniques: Making the HCI-InfoVis connection explicit,2014,Handbook of human centric …,,,,,
53,"M Terada, N Nakamura, Y Nakai, Y Kanai, ...",Observation of an HCI-induced nano-dot on an HOPG surface with STM and AFM,2005,Nuclear Instruments and …,,,,,
72,"J Fahrenkrug, ...","Plasma secretin concentration in man: effect of intraduodenal glucose, fat, amino acids, ethanol, HCI, or ingestion of a meal",1977,European journal of …,,,,,
22,"C Liu, KT Lee, S Pae, J Park","New observations on hot carrier induced dynamic variation in nano-scaled SiON/poly, HK/MG and FinFET devices based on on-the-fly HCI technique: The role of …",2014,2014 IEEE International Electron …,,,,,
35,"CS De Souza, SDJ Barbosa, RO Prates",A semiotic engineering approach to HCI,2001,CHI'01 extended abstracts on …,,,,,
18,E Edmonds,The art of interaction: What HCI can learn from interactive art,2017,Synthesis Lectures on Human-Centered …,,,,,
42,"P Zhang, FFH Nah, J Preece",Guest Editorial: HCI studies in management information systems,2004,Behaviour & information technology,,,,,
35,"T Saizmaa, HC Kim",A holistic understanding of HCI perspectives on smart home,2008,2008 Fourth International Conference on …,,,,,
41,"JO Borchers, JC Thomas",Patterns: what's in it for HCI?,2001,CHI'01 extended abstracts on Human factors …,,,,,
33,KR Fleischmann,Sociotechnical interaction and cyborg–cyborg interaction: Transforming the scale and convergence of HCI,2009,The Information Society,,,,,
21,"MPJ Habgood, D Wilson, D Moore, ...",Hci lessons from playstation vr,2017,… abstracts publication of the …,,,,,
31,"CD Hundhausen, D Fairbrother, M Petre",An Empirical Study of the “Prototype Walkthrough” A Studio-Based Activity for HCI Education,2012,ACM Transactions on …,,,,,
35,"C Satchell, M Foth",Welcome to the jungle: Hci after dark,2011,CHI'11 Extended Abstracts on Human Factors in …,,,,,
38,C Scolari,The sense of the interface: Applying semiotics to HCI research,2009,,,,,,
19,"E Sari, B Wadhwa",Understanding HCI education across Asia-Pacific,2015,… of the International HCI and UX Conference in …,,,,,
28,"AM Moreno, A Seffah, R Capilla, MI Sanchez-Segura",HCI practices for building usable software,2013,Computer,,,,,
27,L Irani,"HCI on the move: methods, culture, values",2010,CHI'10 Extended Abstracts on Human Factors in …,,,,,
16,"M Lewis, M Sturdee, J Alexander, J Van Dijk, ...",SketchingDIS: Hand-drawn sketching in HCI,2017,Proceedings of the …,,,,,
30,"M Massimi, W Odom, D Kirk, R Banks","HCI at the end of life: understanding death, dying, and the digital",2010,CHI'10 Extended Abstracts on …,,,,,
36,"J Goodman-Deane, S Keith, G Whitney",HCI and the older population,2009,,,,,,
58,T Comber,Building usable web pages: An HCI perspective,1995,Proceedings of the First Australian World Wide Web …,,,,,
10,"…, EM Jakobs, M Ziefle, R HCI-Center",Facebook as a source for human-centred engineering. Web Mining-based reconstruction of stakeholder perspectives on energy systems,2014,Advances in Human …,,,,,
20,"RM Carvalho, RM de Castro Andrade, ...",AQUArIUM-A suite of software measures for HCI quality evaluation of ubiquitous mobile applications,2018,Journal of Systems and …,,,,,
103,"B Thürlimann, K Beretta, M Bacchi, ...",First-line fadrozole HCI (CGS 16949A) versus tamoxifen in postmenopausal women with advanced breast cancer: prospective randomised trial of the Swiss Group for …,1996,Annals of oncology,,,,,
44,"P Chalfoun, C Frasson",Subliminal cues while teaching: HCI technique for enhanced learning,2011,Advances in Human-Computer Interaction,,,,,
27,"MS Silberman, B Tomlinson",Toward an ecological sensibility: tools for evaluating sustainable HCI,2010,CHI'10 Extended Abstracts on Human …,,,,,
3,"X Zheng, X Liu, Y Zhang, L Cui, ...",A portable HCI system‐oriented EEG feature extraction and channel selection for emotion recognition,2021,International Journal of …,,,,,
24,"H Jiang, SH Shin, X Liu, X Zhang, ...",Characterization of self-heating leads to universal scaling of HCI degradation of multi-fin SOI FinFETs,2016,2016 IEEE International …,,,,,
4,"V Oguamanam, T Lee, T McKlin, Z Cochran, ...",Cultural Clash: Exploring How Studio-Based Pedagogy Impacts Learning for Students in HCI Classrooms,2020,Proceedings of the …,,,,,
4,"O St-Cyr, CM MacDonald, CM Gray, LE Potter, ...",EduCHI 2020: 2nd Annual Symposium on HCI Education,2020,Extended Abstracts of …,,,,,
7,GR Hayes,Inclusive and engaged HCI,2020,Interactions,,,,,
75,"K Takeuchi, S Kato, K Takehara, Y Asada, T Yasuhiro",Role of Nitric Oxide in Mucosal Blood Flow Response and the Healing of HCI-lnduced Lesions in the Rat Stomach,1997,Digestion,,,,,
37,K Kuutti,HCI and design: uncomfortable bedfellows,2009,"Binder, Löwgren & Malmborg (eds.)",,,,,
35,"X Ferre, N Juristo, AM Moreno",Improving software engineering practice with HCI aspects,2003,International Conference on Software …,,,,,
53,"A Stabholz, AA Nicholas, GJ Zimmerman, ...",Clinical and antimicrobial effects of a single episode of subgingival irrigation with tetracycline HCI or chlorhexidine in deep periodontal pockets,1998,Journal of clinical …,,,,,
17,"H Singh, J Singh",Real-time eye blink and wink detection for object selection in HCI systems,2018,Journal on Multimodal User Interfaces,,,,,
19,"D Herron, N Andalibi, O Haimson, W Moncur, ...",HCI and sensitive life experiences,2016,Proceedings of the 9th …,,,,,
11,"AA Ogunyemi, D Lamas, MK Lárusdóttir, ...",A systematic mapping study of HCI practice research,2019,International Journal of …,,,,,
36,H Kufluoglu,"MOSFET degradation due to negative bias temperature instability (NBTI) and hot carrier injection (HCI), and its implications for reliability-aware VLSI design",2007,,,,,,
23,"A Meschtscherjakov, M Tscheligi, D Szostak, ...",HCI and autonomous vehicles: contextual experience informs design,2016,Proceedings of the …,,,,,
27,"HB Holmer, C DiSalvo, P Sengers, T Lodato",Constructing and constraining participation in participatory arts and HCI,2015,International Journal of …,,,,,
28,"J Pierce, H Brynjarsdottir, P Sengers, ...",Everyday practice and sustainable HCI: understanding and learning from cultures of (un) sustainability,2011,CHI'11 Extended …,,,,,
36,"AM Williams, L Irani",There's methodology in the madness: toward critical HCI ethnography,2010,CHI'10 Extended Abstracts on Human Factors in …,,,,,
17,"L Devendorf, K Andersen, DK Rosner, ...",From HCI to HCI-amusement: Strategies for engaging what new technology makes old,2019,Proceedings of the …,,,,,
4,"SS Chivukula, CM Gray","Bardzell's"" Feminist HCI"" Legacy: Analyzing Citational Patterns",2020,Extended Abstracts of the 2020 CHI …,,,,,
28,"D Gergle, DS Tan",Experimental research in HCI,2014,Ways of Knowing in HCI,,,,,
23,"R Kaiser, K Oertel",Emotions in HCI: an affective e-learning system,2006,ACM International Conference …,,,,,
36,E McKay,The human-dimensions of human-computer interaction: Balancing the HCI equation,2008,,,,,,
24,"H Petrie, A Edwards",Inclusive design and assistive technology as part of the HCI curriculum,2006,Proceedings of HCI Educators Workshop,,,,,
16,"O Bates, V Thomas, C Remy",Doing good in hci: Can we broaden our agenda?,2017,interactions,,,,,
48,"T Ikeda, TM Kojima, Y Iwai, Y Kanai, ...",Production of a nm sized slow HCI beam with a guiding effect,2007,Journal of Physics …,,,,,
37,"Y Guan, M Zheng",Real-time 3D pointing gesture recognition for natural HCI,2008,2008 7th World Congress on Intelligent …,,,,,
51,"L Takacs, GL Moilanen","Simultaneous control of PCDD/PCDF, HCI and NOX emissions from municipal solid waste incinerators with ammonia injection",1991,Journal of the Air & Waste Management …,,,,,
14,"A Appriou, A Cichocki, F Lotte",Towards robust neuroadaptive HCI: exploring modern machine learning methods to estimate mental workload from EEG signals,2018,Extended Abstracts of the 2018 CHI …,,,,,
18,"K Doherty, G Doherty",The construal of experience in HCI: Understanding self-reports,2018,International Journal of Human-Computer Studies,,,,,
9,"R Brankaert, G Kenning, D Welsh, S Foley, ...","Intersections in HCI, design and dementia: inclusivity in participatory approaches",2019,… Publication of the 2019 …,,,,,
52,JM Carroll,Becoming social: expanding scenario-based approaches in HCI,1996,Behaviour & Information Technology,,,,,
29,"D Giakoumis, A Vogiannou, I Kosunen, K Moustakas, ...",Identifying Psychophysiological Correlates of Boredom and Negative Mood Induced during HCI.,2010,B-Interface,,,,,
42,"A Maunder, G Marsden, WD Tucker",Evaluating the relevance of the “Real Access” criteria as a framework for rural HCI research,2006,,,,,,
8,"G Luo, P Yang, M Chen, P Li",HCI on the table: Robust gesture recognition using acoustic sensing in your hand,2020,IEEE Access,,,,,
35,"N Shokri, HA Javar, SH Fouladdel, ...",Preparation and evaluation of poly (caprolactone fumarate) nanoparticles containing doxorubicin HCI,2011,DARU: Journal of …,,,,,
11,"B Knowles, VL Hanson, Y Rogers, AM Piper, ...",HCI and aging: Beyond accessibility,2019,Extended Abstracts of …,,,,,
39,"Y Ait-Ameur, M Baron",Formal and experimental validation approaches in HCI systems design based on a shared event B model,2006,International Journal on Software Tools for …,,,,,
22,"S Bødker, CN Klokmose","Dynamics, multiplicity and conceptual blends in HCI",2016,Proceedings of the 2016 chi conference on …,,,,,
34,"F Flentge, SG Weber, A Behring, T Ziegert",Designing context-aware HCI for collaborative emergency management,2008,Int'l Workshop on HCI for …,,,,,
30,T Clemmensen,Whatever happened to the psychology of human‐computer interaction? A biography of the life of a psychological framework within a HCI journal,2006,Information Technology & People,,,,,
43,"N Winters, S Price",Mobile HCI and the learning context: an exploration,2005,… of Context in Mobile HCI Workshop at MobileHCI05,,,,,
11,"SR Pendse, N Karusala, D Siddarth, ...",Mental health in the global south: challenges and opportunities in HCI for development,2019,Proceedings of the 2nd …,,,,,
46,"M Räsänen, JM Nyce","A new role for anthropology? rewriting"" context"" and"" analysis"" in HCI research",2006,Proceedings of the 4th Nordic conference on …,,,,,
22,"P Wright, J McCarthy",The politics and aesthetics of participatory HCI,2015,Interactions,,,,,
24,"F Cacho, P Mora, W Arfaoui, ...",HCI/BTI coupled model: The path for accurate and predictive reliability simulations,2014,2014 IEEE …,,,,,
39,"C Fuchs, M Obrist",HCI and society: towards a typology of universal design principles,2010,Intl. Journal of Human–Computer Interaction,,,,,
37,H Gamboa,Multi-modal behavioral biometrics based on HCI and electrophysiology,2008,PhD ThesisUniversidade,,,,,
39,"N Viorres, P Xenofon, M Stavrakis, ...",Major HCI challenges for open source software adoption and development,2007,… Conference on Online …,,,,,
24,"I Shklovski, J Vertesi, S Lindtner",Introduction to this special issue on transnational HCI,2014,Human–Computer Interaction,,,,,
31,"Y Pan, D Roedl, JC Thomas, E Blevis",Re-conceptualizing fashion in sustainable HCI,2012,Proceedings of the Designing …,,,,,
59,"R St Amant, MO Riedl",A perception/action substrate for cognitive modeling in HCI,2001,International Journal of Human-Computer Studies,,,,,
67,"V Bellotti, SB Shum, A MacLean, ...",Multidisciplinary Modelling in HCI Design… in theory and in practice,1995,Proceedings of the …,,,,,
38,"R Rosenholtz, NR Twarog, ...",An intuitive model of perceptual grouping for HCI design,2009,Proceedings of the …,,,,,
21,"MS Silberman, E Blevis, E Huang, BA Nardi, ...",What have we learned? A SIGCHI HCI & Sustainability Community workshop,2014,CHI'14 Extended …,,,,,
4,"C Bopp, A Voida",Voices of the social sector: a systematic review of stakeholder voice in HCI research with nonprofit organizations,2020,ACM Transactions on Computer-Human Interaction …,,,,,
5,"S Burtscher, K Spiel",""" But where would I even start?"" developing (gender) sensitivity in HCI research and practice",2020,Proceedings of the Conference on Mensch und …,,,,,
48,"FE Ritter, D Van Rooy, RS Amant, ...",Providing user models direct access to interfaces: An exploratory study of a simple interface with implications for HRI and HCI,2006,IEEE Transactions on …,,,,,
55,J Brown,HCI and Requirements Engineering-Exploring Human-Computer Interaction and Software Engineering Methodologies for the Creation of Interactive Software,1997,Sigchi Bulletin,,,,,
9,"S Chancellor, N Andalibi, L Blackwell, ...","Sensitive research, practice and design in HCI",2019,Extended Abstracts of …,,,,,
28,"J Lazar, J Preece, J Gasen, T Winograd",New issues in teaching HCI: Pinning a tail on a moving donkey,2002,CHI'02 extended abstracts on …,,,,,
26,"Y Pan, E Stolterman",Pattern language and HCI: expectations and experiences,2013,CHI'13 Extended Abstracts on Human Factors in …,,,,,
17,"AA Ogunyemi, D Lamas, ER Adagunodo, ...","Theory, practice and policy: an inquiry into the uptake of HCI practices in the software industry of a developing country",2016,… Journal of Human …,,,,,
28,"E Karapanos, J Jain, M Hassenzahl","Theories, methods and case studies of longitudinal HCI research",2012,CHI'12 Extended Abstracts on …,,,,,
64,"MI Castro, J Rose, W Green, N Lehner, ...","Ketamine-HCI as a Suitable Anesthetic for Endocrine, Metabolic, and Cardiovascular Studies in Macaca fascicularis Monkeys",1981,Proceedings of the …,,,,,
82,JM Carroll,Introduction: Toward a multidisciplinary science of human-computer interaction,2003,"HCI models, theories, and frameworks …",,,,,
22,"X Federspiel, M Rafik, D Angot, ...",Interaction between BTI and HCI degradation in High-K devices,2013,2013 IEEE …,,,,,
30,"J Qin, X Li, JB Bernstein","SRAM stability analysis considering gate oxide SBD, NBTI and HCI",2007,2007 IEEE International Integrated …,,,,,
40,"YA Ameur, M Baron, P Girard",Formal Validation of HCI User Tasks.,2003,Software engineering research and …,,,,,
317,"BJ Sadock, VA Sadock",Kaplan and Sadock's pocket handbook of clinical psychiatry,2010,,,,,,
9,"P Koutsabasis, S Vosinakis, M Stavrakis, ...",Teaching HCI with a studio approach: Lessons learnt,2018,Proceedings of the …,,,,,
92,MJ Prather,More rapid polar ozone depletion through the reaction of HOCi with HCI on polar stratospheric clouds,1992,Nature,,,,,
