Cites,Authors,Title,Year,Source
8,"B Plimmer, HC Purchase, HY Yang",Sketchnode: Intelligent sketching support and formal diagramming,2010,… of the Computer-Human Interaction …
8,"M Sareika, D Schmalstieg",Urban sketcher: Mixing realities in the urban planning and design process,2008,ACM Computer Human Interaction
8,G Salomon,A case study in interface design: The CHI'89 Information Kiosk,1995,Human-computer interaction
8,"A Sutcliffe, P Faraday",Designing multimedia interfaces,1993,Human-Computer Interaction
8,"C Rusu, V Rusu, S Roncagliolo",Usability practice: the appealing way to HCI,2008,"… Computer-Human Interaction, …"
8,"R Smith, P Anderson",Relating distortion to performance in distortion oriented displays,1996,"Computer-Human Interaction, 1996. …"
8,"SK Card, TP Moran, A Newell",Computer text-editing: An information-processing analysis of a routine cognitive skill,1987,Human-computer interaction
8,"CE Dowling, U Koch, KA Quante",A new interface for querying experts on prerequisite relationships,1996,Computer-Human Interaction …
8,"L Zhang, Y Shi, B Chen",NALP: Navigating Assistant for Large Display Presentation Using Laser Pointer,2008,"… in Computer-Human Interaction, …"
8,"P Suraweera, A Mitrovic",Designing an intelligent tutoring system for database modelling,2001,Human-Computer Interaction
8,"DM Frohlich, P Luff",Some lessons from an exercise in specification,1989,Human-Computer Interaction
8,"RM Baecker, J Grudin, WAS Buxton…",Designing to fit human capabilities,1995,… -computer interaction
8,"AI Karshmer, RL Oliver",Special computer interfaces for the visually handicapped: FOB The manufacturer,1993,Human-Computer Interaction
8,"GC van der Veer, MAM Felt",Development of mental models of an office system: A field study on an introductory course,1988,Human-Computer Interaction
8,"A Katifori, G Lepouras, A Dix…",Evaluating the significance of the desktop area in everyday computer use,2008,"… -Human Interaction, …"
8,"RM Baecker, J Grudin, WAS Buxton…",Design and evaluation,1995,… -computer interaction
8,"LM Leventhal, BM Teasley, DS Rohlman…",Positive test bias in software testing among professionals: A review,1993,… -Computer Interaction
7,"C Chatfield, J Häkkilä",Designing Intelligent Environments–User Perceptions on Information Sharing,2004,Computer Human Interaction
7,"J Lee, J Song, H Kim, J Choi, MH Yun",A user-centered approach for ubiquitous service evaluation: an evaluation metrics focused on human-system interaction capability,2008,Computer-Human Interaction
7,"J Hayes, A Moore, G Benwell, BLW Wong",Ambulance dispatch complexity and dispatcher decision strategies: implications for interface design,2004,Computer Human Interaction
7,"S Dow, B MacIntyre",New Media Collaboration through Wizard-of Oz Simulations,2007,Computer-Human Interaction
7,"P Lehane, S Huf",Towards understanding system acceptance: the development of an assessment instrument and workpractice,2005,… Australia conference on Computer-Human Interaction …
7,"J Häkkilä, M Isomursu",User experiences on location-aware mobile services,2005,… conference on Computer-Human Interaction: …
7,"F Chen, EHC Choi, N Ruiz, Y Shi, R Taib",User interface design and evaluation for control room,2005,… Computer-Human Interaction: …
7,"S Feiner, J Mackinlay, J Marks",Automating the design of effective graphics for intelligent user interfaces,1992,… 1992 Conference on Computer Human Interaction
7,"M Allen, H Regenbrecht, M Abbott",Smart-phone augmented reality for public participation in urban planning,2011,… Computer-Human Interaction …
7,"SK Bista, N Colineau, S Nepal, C Paris",The design of an online community for welfare recipients,2012,… Computer-Human Interaction …
7,"M Foth, R Schroeter, I Anastasiu",Fixing the city one photo at a time: mobile logging of maintenance requests,2011,… Computer-Human Interaction …
7,A Yeo,Usability evaluation in Malaysia,2000,… of Fourth Asia Pacific Computer Human Interaction …
7,"S Kiesler, B Zdaniuk, V Lundmark","a. and Kraut, R.(2000)."" Troubles with the internet: the dynamics of help at home.""",2000,Human-Computer Interaction
7,P Padmos,Visual fatigue with work on visual display units: the current state of knowledge,1988,Human-Computer Interaction
7,J Grudin,Interactive systems: bridging the gaps between developers and users,1995,Human-computer interaction
7,"M Watson, T Gill",Earcon for intermittent information in monitoring environments,2004,… 2004 Conference of the Computer–Human Interaction …
7,"VFM Salvador, JS de Oliveira Neto…",Requirement engineering contributions to voice user interface,2008,"… -Human Interaction, …"
7,"W Gräther, W Prinz",Visualizing activity in shared information spaces,2003,Human-computer interaction
7,"RKE Bellamy, EBW Cooper, RD Borovoy",Supporting collaborative learning through the use of electronic conversational props,1994,Human-Computer Interaction
7,"TRG Green, M Petre",Cognitive dimensions as discussion tools for programming language design,1994,Human-Computer Interaction
7,LF Cohill,A taxonomy of user-computer interface functions,1984,Human-Computer Interaction
7,"T Hopp, GF Schwarzenberg, M Zapf…",A MATLAB GUI for the analysis and exploration of signal and image data of an Ultrasound Computer Tomograph,2008,"… -Human Interaction, …"
7,"D Vogel, R Balakrishnan",Direct pen interaction with a conventional graphical user interface,2010,Human–Computer Interaction
7,"H Wing, RM Colomb",Behaviour sharing in adaptable user interfaces,1996,"Computer-Human Interaction, 1996. …"
7,???? ??,?????,2005,Human Computer Interaction
6,"S Naito, Y Kitamura, F Kishino",Steering law in an environment of spatially coupled style with matters of pointer size and trajectory width,2004,Computer Human Interaction
6,"M Duignan, J Noble, P Barr, R Biddle",Metaphors for electronic music production in Reason and Live,2004,Computer Human Interaction
6,S Henderson,Personal digital document management,2004,Computer Human Interaction
6,"K Sakamoto, S Aoyama, S Asahara…",Relationship between viewing distance and visual fatigue in relation to feeling of involvement,2008,… -Human Interaction
6,"D Schmidt, T Wyeld",A novel user interface for online literary documents,2005,… conference on Computer-Human Interaction: …
6,"W Song, D Tjondronegoro",A survey on usage of mobile video in Australia,2010,… of Australia on Computer-Human Interaction
6,"S Pedell, F Vetere, L Kulik, E Ozanne…",Social isolation of older people: the role of domestic technologies,2010,… -Human Interaction …
6,"GR Reddy, A Blackler, D Mahar, V Popovic",The effects of cognitive ageing on use of complex interfaces,2010,… -Human Interaction Special …
6,ES Rintel,Conversational management of network trouble perturbations in personal videoconferencing,2010,… 22nd Conference of the Computer-Human Interaction …
6,"T Erickson, WA Kellogg",Social translucence: An approach to designing systemsthat mesh with social processes,2002,Trans. Computer-Human Interaction
6,"A Clark, A Dünser, M Billinghurst…",Seamless interaction in space,2011,… -Human Interaction …
6,"PJ Lyons, M Pitchforth, D Page, T Given…",The oval menu-evolution and evaluation of a widget,1996,"… -Human Interaction, …"
6,"TB Malone, M Kirkpatrick, CC Heasly",Human-computer interface effectiveness evaluation,1984,Human-computer interaction
6,"JL Wesson, A Singh, B van Tonder",Can Adaptive Interfaces Improve the Usability of Mobile Applications?,2010,Human-Computer Interaction
6,"ZO Toups, A Kerne, W Hamilton",Motivating play through score,2009,… Computer Human Interaction 2009 Workshop on …
6,"J Preece, Y Rogers, H Sharp, D Benyon, S Holland…",Knowledge and mental models,1994,… -Computer Interaction
6,"G Brajnik, Y Yesilada, S Harper",The expertise effect on web accessibility evaluation methods,2011,Human–Computer Interaction
6,"E Chi, A Kittur, BA Pendleton, B Suh, T Mytkowicz",Power of the few vs. wisdom of the crowd: Wikipedia and the rise of the bourgeoisie,2007,Computer/Human Interaction …
6,"Y Rogers, H Muller",Stop making sense: designing sensor-based interactions to facilitate exploration and reflection,2003,Transactions of Computer-Human Interaction
5,"T Robertson, C Hewlett",Hci practices and the work of information architects,2004,Computer Human Interaction
5,"MC Park, K Cheoi",Selective Visual Attention System Based on Spatiotemporal Features,2008,Computer-Human Interaction
5,"R Kemp, E Kemp, T Mohanarajah",Supporting group learning using a digital whiteboard,2004,Computer Human Interaction
5,"J Kjeldskov, S Howard",Envisioning mobile information services: Combining user-and technology-centered design,2004,Computer Human Interaction
5,"K Fujinami, F Kawsar",An experience with augmenting a mirror as a personal ambient display,2008,Computer-Human Interaction
5,"KM Hiltunen, J Häkkilä, U Tuomela",Subjective understanding of context attributes: a case study,2005,… on Computer-Human Interaction: …
5,"W Qi, JB Martens, R van Liere, A Kok",Reach the virtual environment: 3D tangible interaction with scientific data,2005,… on Computer-Human Interaction: …
5,"C Satchell, M Foth",Fear and danger in nocturnal urban environments,2010,… Conference of the Computer-Human Interaction …
5,"B Swift, H Gardner, A Riddell",Engagement networks in social music-making,2010,… of the Computer-Human Interaction …
5,"DA Basballe, K Halskov",Projections on museum exhibits: engaging visitors in the museum setting,2010,… of Australia on Computer-Human Interaction
5,"TW Leong, P Wright, F Vetere, S Howard",Understanding experience using dialogical methods: The case of serendipity,2010,… Computer-Human Interaction …
5,"S Komulainen, M Karukka, J Häkkilä",Social music services in teenage life: a case study,2010,… the Computer-Human Interaction …
5,"S Ghelawat, K Radke, M Brereton","Interaction, privacy and profiling considerations in local mobile social software: a prototype agile ride share system",2010,… of the Computer-Human Interaction …
5,"J Oosterman, A Cockburn",An empirical comparison of tag clouds and tables,2010,… of Australia on Computer-Human Interaction
5,"J Clawson, K Lyons, E Clarkson…",Mobile text entry: An empirical study and analysis of mini–qwerty keyboards,2006,… Human Interaction …
5,A Kirlik,Cognitive engineering: Toward a workable concept of mind,2006,… Human-Computer Interaction: Methods and Models for …
5,"D Barua, J Kay, B Kummerfeld, C Paris",Theoretical foundations for user-controlled forgetting in scrutable long term user models,2011,… Computer-Human Interaction …
5,"M Carter, M Gibbs, M Arnold","Avatars, characters, players and users: multiple identities at/in play",2012,… Australian Computer-Human Interaction …
5,"S Bakker, E van den Hoven, B Eggen",FireFlies: supporting primary school teachers through open-ended interaction design,2012,… Computer-Human Interaction …
4,"R Beale, A Pryke, RJ Hendley",Evolutionary approaches to visualisation and knowledge discovery,2004,Computer Human Interaction
4,"F You, HM Luo, YL Liang, JM Wang",Prototyping and evaluation for smart home controller based on chinese families behavior analysis,2008,Computer-Human Interaction
4,"A Mazalek, E van den Hoven",Tangible Play II:: Exploring the world of hybrid games,2007,Computer Human Interaction
4,"MH Tran, GK Raikundalia, Y Yang",What are you looking at? Newest findings from an empirical study of group awareness,2004,Computer Human Interaction
4,"J Parviainen, N Sainio, R Raisamo",Perceiving tools in 3d sculpting,2004,Computer Human Interaction
4,"S Tano, Y Komatsu, M Iwata",Extended Godzilla: Free-form 3D-object design by sketching and modifying seven primitives at single 2D-3D seamless display,2004,Computer Human Interaction
4,M Colbert,Age Differences in Rendezvousing: 18-30s Vs. 31-45s,2004,Computer Human Interaction
4,"J Yoon, J Ryu",A novel locomotion interface with independent planar and footpad devices for virtual walking,2004,Computer Human Interaction
4,"T Song, J Park, S Jung, K Kwon, J Jeon",Embedded Robot Operating Systems for Human-Robot Interaction,2008,Computer-Human Interaction
4,"S Helal, S Lim, R Bose, HI Yang, H Kim…",Experience of enhancing the space sensing of networked robots using atlas service-oriented architecture,2008,… -Human Interaction
4,"P Damsma, J Norgaard, R Jones","Best practices in an online community for blind, partly sighted and fully sighted children",2005,… on Computer-Human Interaction: …
4,"I Widjaja, S Balbo",Spheres of role in context-awareness,2005,… Australia conference on Computer-Human Interaction …
4,AV Moere,Infostudio: teaching ambient display design using home automation,2005,… Australia conference on Computer-Human Interaction: …
4,B Macdonald,A haptic interface for mobile devices,2005,… Australia conference on Computer-Human Interaction: …
4,"A Light, I Wakeman, J Robinson, A Basu…",Chutney and relish: designing to augment the experience of shopping at a farmers' market,2010,… -Human Interaction …
4,"C Teoh, H Regenbrecht, D O'Hare",Investigating factors influencing trust in video-mediated communication,2010,… of the Computer-Human Interaction …
4,"J Arrasvuori, H Korhonen…",Exploring playfulness in user experience of personal mobile products,2010,… -Human Interaction …
4,H Väätäjä,User experience evaluation criteria for mobile news making technology: findings from a case study,2010,… 22nd Conference of the Computer-Human Interaction …
4,"T Merritt, W Kow, C Ng, K McGee, L Wyse",Who makes what sound?: supporting real-time musical improvisations of electroacoustic ensembles,2010,… computer-human interaction …
4,"K Kinley, D Tjondronegoro, H Partridge",Web searching interaction model based on user cognitive styles,2010,… Computer-Human Interaction …
4,D Gerstmann,Advanced visual interfaces for hierarchical structures,2001,"Human Computer Interaction. CSS480, Research …"
4,"S Singh, M Jackson, J Beekhuyzen…","The Bank and I: Privacy, Banking and Life Stage",2006,… Human Interaction (CHI)
4,"R Ravendran, I MacColl, M Docherty",Mobile banking customization via user-defined tags,2011,… Computer-Human Interaction …
4,S Minocha,Design of E-Business Sites for Effective Customer Relationship Management,2000,… Australian Conference on Computer-Human Interaction …
4,"AS Arif, B Iltisberger, W Stuerzlinger",Extending mobile user ambient awareness for nomadic text entry,2011,… Computer-Human Interaction …
4,"H Shibata, K Hori",A framework to support writing as design using multiple representations,2002,… Pacific Conference on Computer Human Interaction
4,G Fischer,Beyond interaction: meta-design and cultures of participation,2011,… of the 23rd Australian Computer-Human Interaction …
4,"A Martin, CT Jin, O Bown",A toolkit for designing interactive musical agents,2011,… 23rd Australian Computer-Human Interaction …
4,"G Farr-Wharton, M Foth, JHJ Choi",Colour coding the fridge to reduce food waste,2012,… Computer-Human Interaction …
3,"DH Jang, XH Jin, YJ Choi, TY Kim",Background subtraction based on local orientation histogram,2008,Computer-Human Interaction
3,"S Tano, T Matsumoto, M Iwata",Quantitative analysis of human behavior and implied user interface in 3D sketching,2004,Computer Human Interaction
3,"D Woo, J Mori",Accessibility: A tool for usability evaluation,2004,Computer Human Interaction
3,"C Hu, K Tung, L Lau",Music Wall: a tangible user interface using tapping as an interactive technique,2008,Computer-Human Interaction
3,"HD Lee, D Kim, MC Park, GT Park",Augmented reality based vision system for network based mobile robot,2008,Computer-Human Interaction
3,M Zajicek,Passing on good practice: Interface design for older users,2004,Computer Human Interaction
3,D Han,Real-time color gamut mapping architecture and implementation for color-blind people,2004,Computer Human Interaction
3,"H Gunes, M Piccardi, T Jan",Face and body gesture analysis for multimodal HCI,2004,Computer human interaction
3,"N Howard, BA Singletary",Sensemaking in Symbiotic Joint-Cognitive Systems,2005,Proceedings of the Computer-Human Interaction …
3,"T Robertson, M Kan, K Sadler, P Hagen",Uncovering traces of mobile practices:'the bag study',2005,… Computer-Human Interaction: …
3,F Mueller,Gibbs M (2007b) Evaluating a distributed physical leisure game for three players,2007,Conference of the Computer-Human Interaction …
3,"SJ Kim, B Dave",Silver towns and smart technologies,2010,… 22nd Conference of the Computer-Human Interaction …
3,"F Redhead, M Brereton",Iterative design within a local community communication fabric,2010,… of Australia on Computer-Human Interaction
3,"M Ludvigsen, R Veerasawmy",Designing technology for active spectator experiences at sporting events,2010,… of the Computer-Human Interaction …
3,"K Kinley, D Tjondronegoro",User-web interactions: how wholistic/analytic web users search the web?,2010,… of Australia on Computer-Human Interaction
3,"D McKay, S Sanchez, R Parker",What's my name again?: sociotechnical considerations for author name management in research databases,2010,… of the Computer-Human Interaction …
3,"C Dindler, OS Iversen, R Smith…",Participatory design at the museum: inquiring into children's everyday engagement in cultural heritage,2010,… -Human Interaction …
3,J Saad-Sulonen,eParticipation as an information ecology: a micro-scale examination of two cases in Helsinki,2010,… 22nd Conference of the Computer-Human Interaction …
3,"W Miller, L Buys",Householder experiences with resource monitoring technology in sustainable homes,2010,… 22nd Conference of the Computer-Human Interaction …
3,R Medland,Curbing paper wastage using flavoured feedback,2010,… 22nd Conference of the Computer-Human Interaction …
3,"F Redhead, A Dekker, M Brereton",NNUB: the neighbourhood nub digital noticeboard system,2010,… of the Computer-Human Interaction …
3,"S Shahid, E Krahmer, M Swerts, O Mubin",Child-robot interaction during collaborative game play: Effects of age and gender on emotion and experience,2010,… Computer-Human Interaction …
3,"CR Guareis, L Ferreira, M van Sinderen",A conceptual model for the development of CSCW systems,2000,Foundation for Human-Computer Interaction …
3,"AM Bisantz, A Kirlik, N Walker, AD Fisk…",Knowledge versus execution in dynamic judgment tasks,2006,… Computer Interaction …
3,"AR Pritchett, AM Bisantz",Measuring the fit between human judgments and alerting systems: A study of collision detection in aviation,2006,… and Human-Computer Interaction: …
3,"H Hesse, A McDiarmid",The Bubblegum Sequencer,2008,… of the Conference on Computer Human Interaction ( …
3,"BR Huguenard, FJ Lerch, BW Junker, RJ Patz…",Modeling working memory failure in phone-based interaction,1996,… -Human Interaction
3,B Piper,"Ratti, and H. Ishii. Illuminating clay: A 3-d tangible interface for landscape analysis",2002,Computer Human Interaction (CHI)
3,"K McGee, T Merritt, C Ong",What we have here is a failure of companionship: communication in goal-oriented team-mate games,2011,… 23rd Australian Computer-Human Interaction …
3,KJ Räihä,New Interaction Techniques,2005,… ---Tampere Unit for Computer-Human Interaction
3,"H Desurvire, C Wiberg",Evaluating user experience and other lies in evaluating games,2008,Computer Human Interaction …
3,"S Stannus, D Rolf, A Lucieer…",Gestural navigation in google earth,2011,… -Human Interaction …
3,"C Teoh, H Regenbrecht, D O'Hare",The transmission of self: body language availability and gender in videoconferencing,2011,… Computer-Human Interaction …
3,"J Alallah, A Hinze",Feeding the digital parrot: capturing situational context in an augmented memory system,2011,… of the 23rd Australian Computer-Human Interaction …
3,A Kaikkonen,"Mobile internet, internet on mobiles or just internet you access with variety of devices?",2011,… of the 23rd Australian Computer-Human Interaction …
3,"A Bianchi, I Oakley, DS Kwon",Using mobile device screens for authentication,2011,… Australian Computer-Human Interaction …
3,"R Khoury, T Dawborn, W Huang",Visualising web browsing data for user behaviour analysis,2011,… Computer-Human Interaction …
3,"M Bodén, A Dekker, S Viller",Discovery table exploring the design of tangible and ubiquitous technology for learning in preparatory classrooms,2011,… Australian Computer-Human Interaction …
3,"F Honold, F Schüssel, M Weber",Adaptive probabilistic fission for multimodal systems,2012,… Computer-Human Interaction …
3,"C Bueno, S Crossland, C Lutteroth…",Rewriting history: more power to creative people,2011,… -Human Interaction …
3,"N Nourbakhsh, Y Wang, F Chen, RA Calvo",Using galvanic skin response for cognitive load measurement in arithmetic and reading tasks,2012,… -Human Interaction …
3,"B Leporini, MC Buzzi, M Buzzi",Interacting with mobile devices via VoiceOver: usability and accessibility issues,2012,… Australian Computer-Human Interaction …
3,"T Robertson, J Durick, M Brereton, F Vetere…",Knowing our users: scoping interviews in design research with ageing participants,2012,… -Human Interaction …
3,"J Nielsen, T Clemmensen…","People´ s Heads, People´ s Minds?: Theoretical Reflections on Thinking Aloud",2002,… Human Interaction
2,"G Moretti, P Lyons, M Wilson",Chromotome: A 3D interface for exploring colour space,2004,Computer Human Interaction
2,"K Go, K Kashiwagi, Y Ito, Y Nakazawa…","Eye, robot: a network control system for ophthalmologic examination",2008,… -Human Interaction
2,"L Li, C Phillips, C Scogings",The automatic generation of a graphical dialogue model from Delphi source code,2004,Computer Human Interaction
2,"S Kiyomi, A Shoichi, A Shigeo, Y Kuniko, O Akira",Relationship between Viewing Distance and Visual Fatigue in Relation to Feeling of Involvement,2008,Computer-Human Interaction
2,"K Takashima, S Subramanian, T Tsukitani…",Acquisition of Off-Screen Object by Predictive Jumping,2008,… -Human Interaction
2,"HJ Kwon, KS Hong",Intelligent Information System Based on a Speech Web Using Fuzzy Association Rule Mining,2008,Computer-Human Interaction
2,"N Inagawa, K Fujinami",Making Reading Experience Rich with Augmented Book Cover and Bookmark,2008,Computer-Human Interaction
2,"AT Fiore, J Frost, JS Donath","Scientist, Designers seek same for good conversation",2004,Computer-Human Interaction
2,"YB Kim, M Kwak, D Cho",Performance analysis for user interface in real-time ubiquitous information network,2004,Computer Human Interaction
2,"J Nam, H Kim, D Shin, J Park",A Formal Model of Coordination for Supporting Community Computing in a Ubiquitous Environment,2008,Computer-Human Interaction
2,"Y Ayatsuka, M Kohno, J Rekimoto",Real-world oriented access control method with a displayed password,2004,Computer Human Interaction
2,"MD Shieh, ZB Wu",Tactile icon design using a vibration actuator in mobile devices,2008,Computer-Human Interaction
2,"J Choi, SH Hong",SPATIAL POEM: A new type of experimental visual interaction in 3D virtual environment,2008,Computer-Human Interaction
2,P Branco,"Usability Indicators-In Your Face [Online], Procs",2006,Computer Human Interaction
2,AT Larssen,Physical Computing–Representations of Human Movement in Human-Computer Interaction,2004,Computer Human Interaction
2,"YL Theng, AKY Ho, ESW Wee",Exploring factors that make online interactive games successful: A heuristic approach,2008,Computer-Human Interaction
2,"Y Yoon, S Kim, J Lee",Universal video adaptation model for contents delivery in ubiquitous computing,2008,Computer-Human Interaction
2,"J Raisamo, R Raisamo",Enhancing interactive graph manipulation tools with tactile feedback,2004,Computer Human Interaction
2,J Agg,Harvesting versus creating: effective web design rationale,2005,… Australia conference on Computer-Human Interaction: …
2,D Perera,Voice recognition technology for visual artists with disabilities in their upper limbs,2005,… Australia conference on Computer-Human Interaction: …
2,J Paay,Where we met last time: a study of sociality in the city,2005,… Australia conference on Computer-Human Interaction: …
2,"B Busch-Geertsema, S Balbo, J Murphy…",Towards a framework to analyse information architecture work practices,2005,… -Human Interaction: …
2,"R Taib, N Ruiz",Evaluating tangible objects for multimodal interaction design,2005,… Australia conference on Computer-Human Interaction: …
2,"M Hutchins, D Stevenson, C Gunn…",I think i can see it now!: evidence of learning in video transcripts of a collaborative virtual reality surgical training trial,2005,… -Human Interaction: …
2,"T Christie, C Lueg, N Baghaei",Tag clouds as social signallers,2010,… of the Computer-Human Interaction …
2,"A Morrison, S Viller, P Mitchell",Ethnography considered useful: situating criticality,2010,… of the Computer-Human Interaction …
2,P Lehane,Designing interactions for the collective user experience,2010,… 22nd Conference of the Computer-Human Interaction …
2,"D Wilde, K Andersen",Part science part magic: analysing the OWL outcomes,2010,… Conference of the Computer-Human Interaction …
2,"K Radke, C Boyd, M Brereton, JG Nieto",How HCI design influences web security decisions,2010,… Computer-Human Interaction …
2,"J Buur, E Fraser, S Oinonen, M Rolfstam",Ethnographic video as design specs,2010,… Computer-Human Interaction …
2,P Dalsgaard,Research in and through design: an interaction design research approach,2010,… 22nd Conference of the Computer-Human Interaction …
2,SL Yndigegn,Extending design encounters with use of social media,2010,… 22nd Conference of the Computer-Human Interaction …
2,"PA Silva, JC Read",A methodology to evaluate creative design methods: a study with the BadIdeas method,2010,… Conference of the Computer-Human Interaction …
2,"S Zhai, W Buxton",Milgram,1996,"… -Computer Interaction, ACM Transactions on Computer …"
2,"S Loh, Y Santo",Please touch the plant on your way up the stairs...,2010,… Conference of the Computer-Human Interaction …
2,"D Ramachandran, J Canny",Applying persuasive technologies in developing regions,2008,… on Human-Computer Interaction …
2,"A Aaltonen, M Röykkee",A Zoomable User Interface for Controlling Home Appliances with a Hand-held Terminal,2003,… (CHISIG) of Australia on Computer-human interaction ( …
2,"MJ D'Orazio, C Lueg",Peg hunting: foraging with macro-and micro-navigation,2012,… the 24th Australian Computer-Human Interaction …
2,J Nielsen,Inspection Methods,1995,Computer-Human Interaction. CHI
2,"J Seeburger, M Foth",Content sharing on public screens: experiences through iterating social and spatial contexts,2012,… the 24th Australian Computer-Human Interaction …
2,"S Minocha, CL Hardy",Designing navigation and wayfinding in 3D virtual learning spaces,2011,… the 23rd Australian Computer-Human Interaction …
2,"S Mukherjea, JD Foley, S Hudson",Visualizing complex hypermedia networks through multiple hierarchies,1995,"… Conference on Computer Human Interaction, CHI"
2,"J Pearce, S Chang, B Alzougool, G Kennedy…",Search or explore: do you know what you're looking for?,2011,… -Human Interaction …
2,"CHY Chiu, AHS Chan",Comparisons of shape characteristics of 24-and 8-meridian visual lobes for easy and difficult targets,2006,"… Asia-Pacific Conference Computer-Human Interaction, …"
2,"C Zeidler, J Müller, C Lutteroth, G Weber",Comparing the usability of grid-bag and constraint-based layouts,2012,… Computer-Human Interaction …
2,"Z Howard, G Melles",Beyond designing: roles of the designer in complex design projects,2011,… the 23rd Australian Computer-Human Interaction …
2,B Fröhlich,The GlobeFish and the GlobeMouse,2006,Proc. Computer–Human Interaction
2,"T Kuroda, K Sato, K Chihara",S-TEL: A Telecommunication System for Sign Language,1996,… of First Asia Pacific Computer Human Interaction
2,"M Sunnari, L Arhippainen, M Pakanen…",Studying user experiences of autostereoscopic 3D menu on touch screen mobile device,2012,… -Human Interaction …
2,"K Ellis, N Ray, C Howard",Learning a physical skill via a computer: a case study exploring Australian Sign Language,2011,… 23rd Australian Computer-Human Interaction …
2,"S Chen, J Epps, F Chen",A comparison of four methods for cognitive load measurement,2011,… 23rd Australian Computer-Human Interaction …
2,"L Loke, T Robertson",The lived body in design: Mapping the terrain,2011,… the 23rd Australian Computer-Human Interaction …
2,"W Song, D Tjondronegoro, M Docherty",Quality delivery of mobile video: in-depth understanding of user requirements,2011,… Computer-Human Interaction …
2,D Hindus,Designing Social Communication Devices for the Home,2000,Computer Human Interaction
2,N Colineau,A buddy matching program to help build an online support network,2012,… of the 24th Australian Computer-Human Interaction …
2,"M Carter, G Wadley, M Gibbs","Friendly, don't shoot!: how communication design can enable novel social interactions",2012,… Australian Computer-Human Interaction …
2,"T Zangooei, M Mansoori, I Welch",A hybrid recognition and recall based approach in graphical passwords,2012,… Computer-Human Interaction …
2,"M Basheri, L Burd, N Baghaei",A multi-touch interface for enhancing collaborative UML diagramming,2012,… Australian Computer-Human Interaction …
2,"EG Nilsson, K Stølen",Generic functionality in user interfaces for emergency response,2011,… the 23rd Australian Computer-Human Interaction …
2,"J Mori, M Gibbs, M Arnold, B Nansen…",Design considerations for after death: comparing the affordances of three online platforms,2012,… -Human Interaction …
2,"D McKay, G Buchanan, N Vanderschantz…",Judging a book by its cover: interface elements that affect reader selection of ebooks,2012,… -Human Interaction …
2,"S Wibirama, K Hamamoto",A Geometric Model for Measuring Depth Perception in Immersive Virtual Environment,2012,… on Computer Human Interaction
2,"C Gunn, M Adcock",Using sticky light technology for projected guidance,2011,… of the 23rd Australian Computer-Human Interaction …
2,"IM Pohl, L Loke",Engaging the sense of touch in interactive architecture,2012,… of the 24th Australian Computer-Human Interaction …
2,"B Ploderer, W Smith, S Howard, J Pearce…",Things you don't want to know about yourself: ambivalence about tracking and sharing personal information for behaviour change,2012,… -Human Interaction …
2,"K Takano, H Shibata, K Omura, J Ichino…","Do tablets really support discussion?: comparison between paper, tablet, and laptop PC used as discussion tools",2012,… -Human Interaction …
2,Y Santo,An interactive and adaptive building layer: strategies for allowing people to become advanced building-users,2012,… of the 24th Australian Computer-Human Interaction …
2,C Chua,A user interface guide for web search systems,2012,… of the 24th Australian Computer-Human Interaction …
2,"M Pouke, A Karhu, S Hickey…",Gaze tracking and non-touch gesture based interaction method for mobile 3D virtual spaces,2012,… -Human Interaction …
2,"J Grosinger, F Vetere, G Fitzpatrick",Agile life: addressing knowledge and social motivations for active aging,2012,… Computer-Human Interaction …
2,E Pedersen,"R., Sokoler, T.(1997) AROMA: Abstract Representation of Presence Supporting Mutual Awareness",1997,… Special Interest Group on Computer-Human Interaction …
2,KD Keller,The Usability of a Computer-based Work System,1999,
1,"T Tanaka, K Matsumura, K Fujita",Unconsciously Harmonized Online Communication Based on Uninterruptibility Estimation of Interaction Partners,2008,Computer-Human Interaction
1,"G Wood-Bradley, M Campbell",The degree of usability from selected DVD menus and their navigational systems,2004,Computer Human Interaction
1,"JD Choi, BT Jang, CJ Hwang",Collaborative interactions on 3D display for multi-user game environments,2004,Computer Human Interaction
1,"T Yamaguchi, H Shiba, K Shimamura",OPR-LENS: Operation-lens system for supporting a manipulation of information appliances,2004,Computer Human Interaction
1,"L Candy, E Edmonds",Creative expertise and collaborative technology design,2004,Computer Human Interaction
1,"S Lee, M Jung, E Lee",A novel Web page analysis method for efficient reasoning of user preference,2008,Computer-Human Interaction
1,"KHE Tang, LC Tsai",The effect of color coding for the characters on computer keyboards for multilingual input using modeless methods,2004,Computer Human Interaction
1,"K Song, S Lee",Mapping User Accessibility Needs Systematically to Universal Design Principles,2008,Computer-Human Interaction
1,"TY Tang, P Winoto",Mood and Recommendations: On Non-cognitive Mood Inducers for High Quality Recommendation,2008,Computer-Human Interaction
1,"J Park, T Song, S Jung, K Kwon, J Jeon",A User Interface Transmission System for Public Robots,2008,Computer-Human Interaction
1,"J Hyun, J Moon, K Hong",Longitudinal Study on Web Accessibility Compliance of Government Websites in Korea,2008,Computer-Human Interaction
1,WM Newman,"Busy days: Exposing temporal metrics, structures and problems through diary studies",2004,Computer Human Interaction
1,"S Lee, SH Hong, JW Jeon, HG Choi, H Choi",Design of chording gloves as a text input device,2004,… Human Interaction
1,T Sellar,User experience in interactive computer game development,2004,Computer Human Interaction
